Symbol,Short Name,Ticker
EMN,Eastman Chemical Company,EMN
ETN,Eaton Corporation,ETN
EBAY,eBay,EBAY
ECL,Ecolab,ECL
EIX,Edison International,EIX
EW,Edwards Lifesciences,EW
EA,Electronic Arts,EA
ELV,Elevance Health,ELV
LLY,Eli Lilly and Company,LLY
EMR,Emerson Electric,EMR
ENPH,Enphase,ENPH
ETR,Entergy,ETR
EOG,EOG Resources,EOG
EPAM,EPAM Systems,EPAM
EQT,EQT,EQT
EFX,Equifax,EFX
EQIX,Equinix,EQIX
EQR,Equity Residential,EQR
ESS,Essex Property Trust,ESS
EL,Estée Lauder Companies (The),EL
ETSY,Etsy,ETSY
RE,Everest Re,RE
EVRG,Evergy,EVRG
ES,Eversource,ES
EXC,Exelon,EXC
EXPE,Expedia Group,EXPE
EXPD,Expeditors International,EXPD
EXR,Extra Space Storage,EXR
XOM,ExxonMobil,XOM
FFIV,"F5, Inc.",FFIV
FDS,FactSet,FDS
FICO,Fair Isaac,FICO
FAST,Fastenal,FAST
FRT,Federal Realty,FRT
FDX,FedEx,FDX
FITB,Fifth Third Bank,FITB
FSLR,First Solar,FSLR
FE,FirstEnergy,FE
FIS,FIS,FIS
FISV,Fiserv,FISV
FLT,Fleetcor,FLT
FMC,FMC Corporation,FMC
F,Ford Motor Company,F
FTNT,Fortinet,FTNT
FTV,Fortive,FTV
FOXA,Fox Corporation (Class A),FOXA
FOX,Fox Corporation (Class B),FOX
BEN,Franklin Templeton,BEN
FCX,Freeport-McMoRan,FCX
GRMN,Garmin,GRMN
IT,Gartner,IT
GEHC,GE HealthCare,GEHC
GEN,Gen Digital,GEN
GNRC,Generac,GNRC
GD,General Dynamics,GD
GE,General Electric,GE
GIS,General Mills,GIS
GM,General Motors,GM
GPC,Genuine Parts Company,GPC
GILD,Gilead Sciences,GILD
GL,Globe Life,GL
GPN,Global Payments,GPN
GS,Goldman Sachs,GS
HAL,Halliburton,HAL
HIG,Hartford (The),HIG
HAS,Hasbro,HAS
HCA,HCA Healthcare,HCA
PEAK,Healthpeak,PEAK
HSIC,Henry Schein,HSIC
HSY,Hershey's,HSY
HES,Hess Corporation,HES
HPE,Hewlett Packard Enterprise,HPE
HLT,Hilton Worldwide,HLT
HOLX,Hologic,HOLX
HD,Home Depot (The),HD
HON,Honeywell,HON
HRL,Hormel Foods,HRL
HST,Host Hotels & Resorts,HST
HWM,Howmet Aerospace,HWM
HPQ,HP Inc.,HPQ
HUM,Humana,HUM
HBAN,Huntington Bancshares,HBAN
HII,Huntington Ingalls Industries,HII
IBM,IBM,IBM
IEX,IDEX Corporation,IEX
IDXX,Idexx Laboratories,IDXX
ITW,Illinois Tool Works,ITW
ILMN,Illumina,ILMN
INCY,Incyte,INCY
IR,Ingersoll Rand,IR
PODD,Insulet,PODD
INTC,Intel,INTC
ICE,Intercontinental Exchange,ICE
IFF,International Flavors & Fragrances,IFF
IP,International Paper,IP
IPG,Interpublic Group of Companies (The),IPG
INTU,Intuit,INTU
ISRG,Intuitive Surgical,ISRG
IVZ,Invesco,IVZ
INVH,Invitation Homes,INVH
IQV,IQVIA,IQV
IRM,Iron Mountain,IRM
JBHT,J.B. Hunt,JBHT
JKHY,Jack Henry & Associates,JKHY
J,Jacobs Solutions,J
JNJ,Johnson & Johnson,JNJ
JCI,Johnson Controls,JCI
JPM,JPMorgan Chase,JPM
JNPR,Juniper Networks,JNPR
K,Kellogg's,K
KDP,Keurig Dr Pepper,KDP
KEY,KeyCorp,KEY
KEYS,Keysight,KEYS
KMB,Kimberly-Clark,KMB
KIM,Kimco Realty,KIM
KMI,Kinder Morgan,KMI
KLAC,KLA Corporation,KLAC
KHC,Kraft Heinz,KHC
KR,Kroger,KR
LHX,L3Harris,LHX
LH,LabCorp,LH
LRCX,Lam Research,LRCX
LW,Lamb Weston,LW
LVS,Las Vegas Sands,LVS
LDOS,Leidos,LDOS
LEN,Lennar,LEN
LNC,Lincoln Financial,LNC
LIN,Linde plc,LIN
LYV,Live Nation Entertainment,LYV
LKQ,LKQ Corporation,LKQ
LMT,Lockheed Martin,LMT
L,Loews Corporation,L
LOW,Lowe's,LOW
LYB,LyondellBasell,LYB
MTB,M&T Bank,MTB
MRO,Marathon Oil,MRO
MPC,Marathon Petroleum,MPC
MKTX,MarketAxess,MKTX
MAR,Marriott International,MAR
MMC,Marsh McLennan,MMC
MLM,Martin Marietta Materials,MLM
MAS,Masco,MAS
MA,Mastercard,MA
MTCH,Match Group,MTCH
MKC,McCormick & Company,MKC
MCD,McDonald's,MCD
MCK,McKesson,MCK
MDT,Medtronic,MDT
MRK,Merck & Co.,MRK
META,Meta Platforms,META
MET,MetLife,MET
MTD,Mettler Toledo,MTD
MGM,MGM Resorts,MGM
MCHP,Microchip Technology,MCHP
MU,Micron Technology,MU
MSFT,Microsoft,MSFT
MAA,Mid-America Apartment Communities,MAA
MRNA,Moderna,MRNA
MHK,Mohawk Industries,MHK
MOH,Molina Healthcare,MOH
TAP,Molson Coors Beverage Company,TAP
MDLZ,Mondelez International,MDLZ
MPWR,Monolithic Power Systems,MPWR
MNST,Monster Beverage,MNST
MCO,Moody's Corporation,MCO
MS,Morgan Stanley,MS
MOS,Mosaic Company (The),MOS
MSI,Motorola Solutions,MSI
MSCI,MSCI,MSCI
NDAQ,"Nasdaq, Inc.",NDAQ
NTAP,NetApp,NTAP
NFLX,Netflix,NFLX
NWL,Newell Brands,NWL
NEM,Newmont,NEM
NWSA,News Corp (Class A),NWSA
NWS,News Corp (Class B),NWS
NEE,NextEra Energy,NEE
NKE,"Nike, Inc.",NKE
NI,NiSource,NI
NDSN,Nordson Corporation,NDSN
NSC,Norfolk Southern Railway,NSC
NTRS,Northern Trust,NTRS
NOC,Northrop Grumman,NOC
NCLH,Norwegian Cruise Line Holdings,NCLH
NRG,NRG Energy,NRG
NUE,Nucor,NUE
NVDA,Nvidia,NVDA
NVR,"NVR, Inc.",NVR
NXPI,NXP Semiconductors,NXPI
ORLY,O'Reilly Auto Parts,ORLY
OXY,Occidental Petroleum,OXY
ODFL,Old Dominion,ODFL
OMC,Omnicom Group,OMC
ON,ON Semiconductor,ON
OKE,ONEOK,OKE
ORCL,Oracle Corporation,ORCL
OGN,Organon & Co.,OGN
OTIS,Otis Worldwide,OTIS
PCAR,Paccar,PCAR
PKG,Packaging Corporation of America,PKG
PARA,Paramount Global,PARA
PH,Parker Hannifin,PH
PANW,Palo Alto Networks,PANW
PAYX,Paychex,PAYX
PAYC,Paycom,PAYC
PYPL,PayPal,PYPL
PNR,Pentair,PNR
PEP,PepsiCo,PEP
PFE,Pfizer,PFE
PCG,PG&E Corporation,PCG
PM,Philip Morris International,PM
PSX,Phillips 66,PSX
PNW,Pinnacle West,PNW
PXD,Pioneer Natural Resources,PXD
PNC,PNC Financial Services,PNC
POOL,Pool Corporation,POOL
PPG,PPG Industries,PPG
PPL,PPL Corporation,PPL
PFG,Principal Financial Group,PFG
PG,Procter & Gamble,PG
PGR,Progressive Corporation,PGR
PLD,Prologis,PLD
PRU,Prudential Financial,PRU
PEG,Public Service Enterprise Group,PEG
PTC,PTC,PTC
PSA,Public Storage,PSA
PHM,PulteGroup,PHM
QRVO,Qorvo,QRVO
PWR,Quanta Services,PWR
QCOM,Qualcomm,QCOM
DGX,Quest Diagnostics,DGX
RL,Ralph Lauren Corporation,RL
RJF,Raymond James,RJF
RTX,Raytheon Technologies,RTX
O,Realty Income,O
REG,Regency Centers,REG
REGN,Regeneron,REGN
RF,Regions Financial Corporation,RF
RSG,Republic Services,RSG
RMD,ResMed,RMD
RVTY,Revvity,RVTY
RHI,Robert Half,RHI
ROK,Rockwell Automation,ROK
ROL,"Rollins, Inc.",ROL
ROP,Roper Technologies,ROP
ROST,Ross Stores,ROST
RCL,Royal Caribbean Group,RCL
SPGI,S&P Global,SPGI
CRM,Salesforce,CRM
SBAC,SBA Communications,SBAC
SLB,Schlumberger,SLB
STX,Seagate Technology,STX
SEE,Sealed Air,SEE
SRE,Sempra Energy,SRE
NOW,ServiceNow,NOW
SHW,Sherwin-Williams,SHW
SPG,Simon Property Group,SPG
SWKS,Skyworks Solutions,SWKS
SJM,J.M. Smucker Company (The),SJM
SNA,Snap-on,SNA
SEDG,SolarEdge,SEDG
SO,Southern Company,SO
LUV,Southwest Airlines,LUV
SWK,Stanley Black & Decker,SWK
SBUX,Starbucks,SBUX
STT,State Street Corporation,STT
STLD,Steel Dynamics,STLD
STE,Steris,STE
SYK,Stryker Corporation,SYK
SYF,Synchrony Financial,SYF
SNPS,Synopsys,SNPS
SYY,Sysco,SYY
TMUS,T-Mobile US,TMUS
TROW,T. Rowe Price,TROW
TTWO,Take-Two Interactive,TTWO
TPR,"Tapestry, Inc.",TPR
TRGP,Targa Resources,TRGP
TGT,Target Corporation,TGT
TEL,TE Connectivity,TEL
TDY,Teledyne Technologies,TDY
TFX,Teleflex,TFX
TER,Teradyne,TER
TSLA,"Tesla, Inc.",TSLA
TXN,Texas Instruments,TXN
TXT,Textron,TXT
TMO,Thermo Fisher Scientific,TMO
TJX,TJX Companies,TJX
TSCO,Tractor Supply,TSCO
TT,Trane Technologies,TT
TDG,TransDigm Group,TDG
TRV,Travelers Companies (The),TRV
TRMB,Trimble Inc.,TRMB
TFC,Truist,TFC
TYL,Tyler Technologies,TYL
TSN,Tyson Foods,TSN
USB,U.S. Bank,USB
UDR,"UDR, Inc.",UDR
ULTA,Ulta Beauty,ULTA
UNP,Union Pacific Corporation,UNP
UAL,United Airlines Holdings,UAL
UPS,United Parcel Service,UPS
URI,United Rentals,URI
UNH,UnitedHealth Group,UNH
UHS,Universal Health Services,UHS
VLO,Valero Energy,VLO
VTR,Ventas,VTR
VRSN,Verisign,VRSN
VRSK,Verisk,VRSK
VZ,Verizon,VZ
VRTX,Vertex Pharmaceuticals,VRTX
VFC,VF Corporation,VFC
VTRS,Viatris,VTRS
VICI,Vici Properties,VICI
V,Visa Inc.,V
VMC,Vulcan Materials Company,VMC
WAB,Wabtec,WAB
WBA,Walgreens Boots Alliance,WBA
WMT,Walmart,WMT
WBD,Warner Bros. Discovery,WBD
WM,Waste Management,WM
WAT,Waters Corporation,WAT
WEC,WEC Energy Group,WEC
WFC,Wells Fargo,WFC
WELL,Welltower,WELL
WST,West Pharmaceutical Services,WST
WDC,Western Digital,WDC
WRK,WestRock,WRK
WY,Weyerhaeuser,WY
WHR,Whirlpool Corporation,WHR
WMB,Williams Companies,WMB
WTW,Willis Towers Watson,WTW
GWW,W. W. Grainger,GWW
WYNN,Wynn Resorts,WYNN
XEL,Xcel Energy,XEL
XYL,Xylem Inc.,XYL
YUM,Yum! Brands,YUM
ZBRA,Zebra Technologies,ZBRA
ZBH,Zimmer Biomet,ZBH
ZION,Zions Bancorporation,ZION
ZTS,Zoetis,ZTS
^GSPC,Index,^GSPC
